행정구,갈비/삼겹살,곱창/양구이전문,기사식당,기타고기요리,냉면집,닭/오리요리,돌솥/비빕밥전문점,두부요리전문,버섯전문점,별식/퓨전요리,보리밥전문,부대찌개/섞어찌개,부페,분식,설렁탕집,순두부전문,쌈밥전문,양식,유흥주점,음식배달서비스,일식/수산물,재첩국전문,제과제빵떡케익,족발/보쌈전문,중식,추어탕전문,커피점/카페,파전전문,패스트푸드,한식/백반/한정식,한정식전문,해장국/감자탕,황태전문,총생활인구수_평일,10대 미만 생활인구_평일,10대 생활인구_평일,20~30대 생활인구_평일,40~50대 생활인구_평일,60대 생활인구_평일,70대 이상 생활인구_평일,총생활인구수_주말,10대 미만 생활인구_주말,10대 생활인구_주말,20~30대 생활인구_주말,40~50대 생활인구_주말,60대 생활인구_주말,70대 이상 생활인구_주말,대학교(전체),일반대학,온라인대학,초중고(전체),초등학교,중학교,고등학교,총인구수,총가구수,가구당인구수,평균소득금액,상권변화지표,운영점포영업개월,폐업점포영업개월,10대 미만,10대,20 ~ 30대,40 ~ 50대,60대,70대 이상,총인구,역(전체),역(환승역)
동대문구,144,58,6,20,23,199,4,6,0,93,5,17,16,360,7,3,3,118,381,5,252,0,162,48,149,10,565,14,196,1080,6,36,0,8429927.6198,491681.59553,688367.66866,2974962.2817,2386177.25279,908284.4655599999,980454.35008,8225970.0718,475214.19753,663345.9940300001,2890344.44111,2346765.04289,880363.0856700001,969937.29924,5,4,1,47,21,15,11,351057,158899,2.21,3778.843214285714,HH,133,59,19198,23534,118053,102178,47850,42368,353181,15,10
동작구,99,26,1,22,11,196,0,2,0,78,2,18,11,315,5,0,0,123,316,0,233,0,186,38,94,6,590,7,188,676,3,22,1,9104813.0964,641203.061709,767405.79788,3219559.79863,2554795.66566,922087.71932,999761.05418,9166394.6995,622438.96675,752713.9084000001,3228309.50621,2635099.1074,928961.67829,998871.53931,3,3,0,44,21,16,7,392772,174572,2.25,5348.074,HH,125,59,22140,27296,130443,116632,50954,45163,392628,21,10
마포구,206,80,7,17,17,228,3,5,0,157,0,20,18,427,20,5,1,535,784,3,513,0,344,57,195,7,1637,7,279,2238,4,49,0,10809234.9999,610926.17539,819731.58191,4343286.8825,3275942.7539,874071.89324,885275.7138,10536980.9082,629531.31093,900982.28334,4248167.5759000005,3054918.9073,836928.42246,866452.41843,3,2,1,46,22,14,10,365612,166007,2.2,5643.3998645625,LL,102,52,22480,27904,130998,115577,41630,37473,376062,22,10
서대문구,105,31,9,14,12,187,2,0,0,80,4,15,9,341,10,2,4,240,347,2,211,0,196,27,108,6,705,6,226,896,9,25,2,8839241.4087,522506.64576,752632.27486,3250307.54448,2607202.1768699996,819984.53201,886608.22793,8164007.9066,490381.81682,706794.38315,2905100.79268,2405838.4274,792727.22226,863165.25339,9,8,1,40,19,14,7,317209,138528,2.29,4344.529714285714,HH,125,57,18654,23372,101471,95409,40580,37673,317159,7,2
서초구,174,35,0,31,22,213,4,4,1,141,2,25,17,520,27,5,5,407,452,5,449,0,260,39,183,11,1205,4,277,1511,10,53,3,13983141.979600001,1024510.716165,1249198.41438,4509885.54665,4772427.84643,1259969.708206,1167149.744526,12073224.298249999,1009816.332573,1255531.393603,3584962.64441,4008087.5947,1126642.868368,1088183.45736,3,3,0,51,24,16,11,401749,158582,2.53,10587.684444444445,HH,132,56,29902,44616,109577,137660,47480,39790,409025,19,7
성동구,142,44,0,36,19,157,2,0,1,94,1,19,4,273,12,1,2,287,292,4,245,0,162,51,113,5,694,2,168,989,1,37,1,8375469.707,529936.972503,585741.41524,3062261.72842,2586783.50793,837751.21845,772994.86235,7817996.0532,536389.72569,597202.82337,2791151.71689,2357020.05712,782441.20017,753790.53366,2,2,0,41,21,11,9,291918,126658,2.3,4896.332058823529,LH,114,59,18653,18949,92681,89394,38286,30978,288941,19,6
성북구,108,55,3,20,21,241,2,8,0,85,5,23,7,360,14,2,6,205,332,2,242,0,185,41,104,9,731,7,250,988,8,41,0,10089657.1706,759406.08849,1111884.3635,3186968.63438,2885598.80769,1015051.26479,1130748.01335,10091989.3924,744119.37077,1052396.66805,3113556.91777,3032420.87414,1016752.10651,1132743.44832,7,6,0,60,29,18,13,438833,184871,2.37,3832.99253035,LH,121,58,26707,37116,131892,138225,57305,51351,442596,13,4
송파구,224,74,4,40,29,315,5,5,2,142,4,36,26,583,21,5,13,362,565,8,572,0,341,79,196,8,1243,12,386,1946,7,58,3,17660833.1831,1503760.902,1701639.04993,5279434.93404,5641817.81012,1875710.92753,1658469.55148,17538362.6897,1501015.10792,1738141.3317,5349584.7,5507023.26449,1819518.8577400001,1623079.42643,1,1,0,89,41,29,19,664752,268675,2.47,7536.2903703703705,LL,120,55,47196,58387,196854,212357,88693,62360,665847,25,14
양천구,116,35,3,24,14,210,3,2,0,77,4,20,16,357,11,3,4,112,364,2,256,0,204,45,104,9,601,5,239,742,12,29,3,8550521.02965,779664.5297739999,1185664.483423,2016323.58319,2732765.73209,924232.47788,911870.22541,8861068.4526,737278.903755,1185213.623868,2189817.08992,2912439.2201,927844.02789,908475.56802,0,0,0,64,30,19,15,439068,168184,2.61,4539.065555555555,LL,116,52,27745,48851,111300,151681,61301,44392,445270,6,0
영등포구,186,47,7,20,19,215,2,4,1,125,3,21,33,400,25,3,6,259,593,3,391,0,201,42,292,11,969,3,253,1300,6,56,6,11621319.9252,645338.874945,650997.75105,4255673.48139,3945076.92944,1124217.95861,1000014.9244499999,10521008.4887,676171.822073,701545.79427,3782244.00198,3287570.90622,1093612.63172,979863.33281,0,0,0,44,23,12,9,403619,178217,2.26,4581.6578395,HH,126,56,25189,24348,133456,122383,51451,42111,398938,21,13
용산구,104,25,3,23,15,128,3,1,0,109,5,20,7,264,10,1,4,633,410,5,255,0,163,33,96,2,726,2,197,1067,10,26,2,6831872.580200001,347300.094024,443867.670633,2507642.1449599997,2247376.95097,656463.8811,629221.83615,6583500.0217,375246.736187,460300.47556,2443280.15425,2064337.15785,626287.61218,614047.89315,2,2,0,34,15,9,10,225882,101431,2.23,5958.7693125,HH,132,59,13445,15586,75897,73250,29680,25876,233734,19,11
은평구,137,44,0,17,16,259,3,4,0,90,5,22,15,399,5,2,3,143,474,0,276,0,253,54,120,10,609,5,193,1088,4,44,1,9931603.4296,766111.58342,980033.93839,2662547.69215,3085228.88201,1151635.63721,1286045.67592,10447297.4689,743980.04923,967249.63276,2933734.20555,3317823.4619,1188034.02596,1296476.06668,1,1,0,66,30,18,18,463102,192581,2.4,4255.108125,LL,114,55,26551,36930,132113,151399,67692,59439,474124,15,6
종로구,131,45,0,19,23,156,2,3,0,101,8,22,13,419,24,5,4,450,406,3,283,0,161,29,120,4,1056,8,164,1328,13,46,1,7167104.0485,259636.476416,514307.37479499995,2514782.82685,2401206.66393,752548.94071,724621.7651,6149544.5512,275859.819129,480025.156,2171152.70197,1880239.69766,672388.35233,669878.83357,5,4,1,36,13,9,14,151291,68069,2.22,4924.173526235295,HH,142,65,6901,10729,48405,46622,20567,18775,151999,15,7
중구,127,34,1,23,21,168,4,3,0,118,4,28,36,415,22,8,2,296,447,5,290,0,177,36,141,16,901,7,172,1206,5,39,0,7056570.4393,215853.02207399998,301381.555082,2729702.01044,2562566.71381,677272.60785,569794.52984,4998486.7665,239044.689025,279893.520455,1873116.88817,1587483.05721,531369.84725,487578.7662,2,2,0,30,12,8,10,128744,59817,2.15,4839.610629600001,HH,155,66,6520,6938,43092,39138,18495,16581,130764,23,18
중랑구,162,68,3,18,18,231,2,1,1,81,15,21,10,345,6,2,6,94,440,1,241,0,180,46,80,15,511,7,178,799,2,54,1,8119015.8935,590829.70315,634963.7716,2254162.01149,2561142.97416,1041537.80025,1036379.63162,8504495.9517,585918.58205,644728.56895,2470766.63046,2689492.2605500002,1063277.3673699999,1050312.54381,1,1,0,48,24,14,10,385663,167617,2.3,3855.08,LL,117,53,20954,25234,113134,122785,61603,47400,391110,16,7
